State,Gender,Handed,Height_cm,Armspan_cm,Travel_to_School,Travel_time_to_School,Score_in_memory_game,Importance_recycling_rubbish,Left_Footlength_cm,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Favorite_Music,Superpower,Preferred_Status
IN,Female,Right-Handed,165.1,184,Car,5,41,10,23.5,55,59,Index finger,July,Summer,Yes,Yes,Water,Art,7,10,6,Text messaging,10,15,10,0,12,10,10,0,15,5,5,0,2,4,A lot,Other,Fly,Healthy
WA,Male,Right-Handed,180,185,Car,15,38,930,28,110,90,Index finger,May,Winter,Yes,No,Water,Mathematics and statistics,7,9,4,Text messaging,37,36,4,1,4,3,10,2,1,2,3,1,0,5,Very little,Rap/Hip hop,Super strength,Happy
IN,Male,Right-Handed,183,180,Car,10,45,200,28,80,80,Same length,April,Summer,Yes,No,Water,Mathematics and statistics,6.5,9,4,"Myspace, Facebook, other social networking sites, or blog",10,14,48,0.5,3,1,8,1,4,2,4,5,20,2,Some,Rap/Hip hop,Super strength,Happy
IN,Male,Right-Handed,164,167,Car,15,51,920,25,10,10,Same length,March,Summer,No,No,Water,Physical education,7,10,3,In person,400,400,80,40,26,28,65,10,100,100,100,20,40,100,A lot,Rap/Hip hop,Super strength,Happy
IN,Female,Right-Handed,153,139.7,Car,15,8,50,18,30,60,Ring finger,February,Summer,No,No,Water,Art,7,9,6,Cell phone,16,8,8,10,2,1,0,0,24,24,25,9,15,0,Some,Pop,Telepathy,Rich
IN,Female,Right-Handed,160,158,Car,8,37,1000,24,61,74,Ring finger,April,Spring,Yes,No,Tea,Science,7,12,2,Internet chat or instant messaging,4,4,5,0,15,2,0,0,1,2,4,4,0,2,A lot,Pop,Freeze time,Happy
WA,Male,Right-Handed,165.1,168,Bus,20,64,100,28,82,77,Index finger,May,Summer,No,No,Water,Music,6,11,4,Text messaging,3,3,0,1,10,10,5,5,10,2,10,0,0,4,Some,Rap/Hip hop,Telepathy,Rich
IN,Female,Right-Handed,160,147,Car,10,46,717,22,62,63,Ring finger,August,Fall,No,No,Water,Computers and technology,4,7,6,Internet chat or instant messaging,300,200,35,3,15,72,0,3,120,140,140,3,25,19,A lot,Punk rock,Invisibility,Happy
IN,Female,Left-Handed,157,157,Car,5,28,500,23,80,70,Index finger,November,Fall,No,No,Energy drink,Mathematics and statistics,7,9,5,In person,15,20,10,5,14,10,5,0,2,5,2,2,20,0,A lot,Rap/Hip hop,Freeze time,Happy
IN,Female,Right-Handed,165.5,170.2,Car,16,55,700,24.76,63.5,69.8,Ring finger,February,Summer,Yes,No,Water,Physical education,5,6,4,Text messaging,600,1500,25,1,4,2,30,0,6,10,7,4,0,3,A lot,Rap/Hip hop,Freeze time,Happy
IN,Male,Right-Handed,191,191,Car,18,42,274,29,94,99,Ring finger,September,Fall,No,No,Water,Computers and technology,6,7,3,Text messaging,35,100,5,2,9,4,11,8,3,5,20,8,14,1,Some,Pop,Freeze time,Rich
IN,Male,Right-Handed,177,183,Car,14,53,78,23,80,100,Ring finger,March,Fall,No,No,Water,Mathematics and statistics,7,10,4,Text messaging,15,10,2,1,0,4,2,6,10,1,1,5,0,30,Very little,Country,Super strength,Rich
IN,Female,Right-Handed,168,142,Car,7,57,400,23.6,90,90,Same length,June,Fall,No,No,Water,Science,5,6,5,Text messaging,200,150,15,10,0.5,20,30,0,50,60,60,25,30,5,A lot,Country,Invisibility,Happy
IN,Male,Right-Handed,186,188,Car,15,34,800,27.5,100,110,Ring finger,December,Winter,Yes,No,Water,Languages,6,11,4,In person,5,8,8,0,1,2,6,15,1,0,3,1,0,2,Some,Pop,Fly,Happy
IN,Female,Right-Handed,156,54.5,Car,8,35,1000,22.2,83,88,Ring finger,May,Summer,Yes,No,Milk,English,5,8,2,Text messaging,15,20,7,1,10,9,8,1,9,5,6,5,1,2,A lot,Pop,Fly,Happy
IN,Male,Right-Handed,151,197,Car,10,41,801,25.5,90,85,Index finger,September,Fall,No,No,Water,History,7,9,5,Text messaging,750,800,10,1,12,50,17,10,168,100,102,1,16,3,Some,Rap/Hip hop,Super strength,Happy
IN,Male,Right-Handed,175.2,155.6,Car,8,41,700,30.48,7.2,8.1,Ring finger,November,Fall,Yes,No,Soft drink (caffeinated),Social studies,8,10,3,Text messaging,100,1002,4,8,2,2,3,8,9,9,9,9,6,1,Very little,Rap/Hip hop,Fly,Rich
IN,Female,Right-Handed,171,173,Car,15,46,300,26,65,70,Ring finger,August,Fall,Yes,No,Coffee,Science,7,10,3,Cell phone,500,350,4,0,3,16,16,2,6,8,8,1,0,4,A lot,Country,Freeze time,Happy
IN,Female,Left-Handed,154,149,Car,15,52,500,22.86,76.2,63.5,Ring finger,August,Summer,No,No,Soft drink (caffeinated),Mathematics and statistics,6,8,6,Text messaging,100,100,10,1,5,120,10,1,10,50,1,10,0,1,Some,Other,Fly,Rich
WA,Male,Right-Handed,189,180,Car,15,52,900,29,90,92,Ring finger,May,Winter,Yes,No,Tea,Social studies,6.5,8,3,Internet chat or instant messaging,3,4,8,1,6,4,5,10,9,6,3,4,20,4,Some,Rap/Hip hop,Freeze time,Happy
IN,Female,Right-Handed,168,160,Car,5,56,600,23.5,70,65,Ring finger,March,Summer,Yes,No,Soft drink (caffeinated),Languages,6,9,5,Text messaging,60,65,8,2,6,8,1,3,10,12,12,5,35,15,Some,Rap/Hip hop,Freeze time,Rich
WA,Male,Right-Handed,183,198,Bus,15,39,900,31,98,92,Index finger,April,Fall,Yes,No,Milk,History,7.5,9,3,"Myspace, Facebook, other social networking sites, or blog",12,10,5,1,2,2,12,0,10,2,10,6,0,2,Some,Rap/Hip hop,Freeze time,Rich
IN,Male,Right-Handed,144,185,Car,14,35,1000,41,56,56,Same length,January,Fall,Yes,No,Water,History,7.5,8.5,5,"Myspace, Facebook, other social networking sites, or blog",7,12,1,0.3,24,20,12,0,14,0.3,14,1,16,5,A lot,Reggae,Freeze time,Rich
IN,Female,Right-Handed,174,172,Car,8,47,500,23,90,80,Index finger,October,Summer,Yes,No,Soft drink (caffeinated),Science,5,10,4,Text messaging,40,45,6,0.2,24,6,0,1,4,16,50,4,0,3,A lot,Pop,Telepathy,Rich
IN,Female,Left-Handed,170,170,Car,12,41,10,30,9,9,Same length,August,Fall,No,No,Water,Mathematics and statistics,7,9,4,Text messaging,100,120,10,1,4,2,20,0,3,2,6,6,6,1,A lot,Country,Telepathy,Healthy
IN,Male,Right-Handed,183,190,Car,15,49,900,31,80,80,Same length,July,Summer,Yes,No,Water,Mathematics and statistics,7,7,6,Text messaging,15,15,5,1,5,5,15,0,3,3,8,10,10,8,Very little,Country,Invisibility,Rich
IN,Male,Right-Handed,177.8,177,Car,15,38,20,26,70,70,Same length,June,Summer,No,No,Soft drink (caffeinated),Computers and technology,7,9,4,Text messaging,200,200,5,0,2,10,4,0.5,1,4,1,1,30,1,Very little,Country,Telepathy,Happy
IN,Female,Right-Handed,157,157,Car,10,29,600,24,76,63,Index finger,November,Fall,Yes,No,Water,English,9,10,4,In person,70,71,6,1,5,8,2,1,3,3,2,6,6,4,Some,Gospel,Telepathy,Happy
IN,Male,Right-Handed,178.4,176,Car,6,71,500,25,90,95,Ring finger,January,Spring,Yes,No,Water,Science,6,7,3,Text messaging,30,25,24,1,3,4,12,5,5,5,0,0,16,2,Very little,Rap/Hip hop,Freeze time,Happy
IN,Female,Right-Handed,124,123,Car,7,48,561,23.3,71.1,71.3,Ring finger,August,Fall,Yes,No,Water,English,7,9,5,Text messaging,15,10,5,4,15,8,7,0,1,1,6,0,2,7,A lot,Jazz,Invisibility,Healthy
IN,Female,Right-Handed,170,137,Car,12,47,700,26.2,90,90,Same length,February,Summer,No,No,Water,Music,5,11,5,In person,0,0,1,0,14,1,0,0,2,2,28,4,0,2,A lot,Punk rock,Telepathy,Happy
IN,Female,Right-Handed,160,150,Car,10,41,500,20.2,7.62,7.7,Ring finger,August,Fall,Yes,No,Water,Mathematics and statistics,6.5,11,3,In person,40,40,20,1,20,12,1,1,10,20,24,25,12,12,Some,Punk rock,Fly,Happy
WA,Female,Right-Handed,167.6,153,Car,10,41,1000,24,80,70,Index finger,May,Fall,No,No,Soft drink (caffeinated),Music,8,10,2,Text messaging,100,100,5,5,5,5,5,5,5,5,5,5,5,5,A lot,Country,Telepathy,Happy
IN,Female,Right-Handed,157,150,Bus,13,53,1000,101,90,85,Index finger,September,Fall,No,No,Powdered drink,Languages,8,12,6,Text messaging,115,90,0,1,10,30,0,3,3,84,15,1,25,1,A lot,Other,Freeze time,Rich
WA,Male,Right-Handed,185,188,Car,6,43,1000,26,8,7.5,Index finger,March,Winter,No,No,Water,Other,6,5,4,"Myspace, Facebook, other social networking sites, or blog",200,220,5,1,16,1,3,0,8,8,8,0,20,4,A lot,Rock and roll,Freeze time,Rich
IN,Male,Right-Handed,166,173,Car,10,1,0,27,90,80,Ring finger,January,Summer,Yes,No,Water,Music,8,9.5,4,"Myspace, Facebook, other social networking sites, or blog",40,40,10,1,5,5,10,20,20,5,50,5,16,1,Very little,Rock and roll,Telepathy,Rich
WA,Male,Right-Handed,185.4,185,Car,10,63,300,28,90,100,Ring finger,February,Winter,Yes,No,Soft drink (caffeinated),Science,8,9,3,Internet chat or instant messaging,5,5,11,4,8,9,7,8,6,9,8,9,7,7,A lot,Rap/Hip hop,Freeze time,Happy
WA,Female,Right-Handed,155,157,Car,10,40,200,22,72,75,Ring finger,September,Winter,No,No,Water,Computers and technology,6,8,6,In person,2,2,40,1,20,10,2,20,3,1,50,5,0,5,A lot,Classical,Telepathy,Happy
IN,Female,Right-Handed,157,51,Car,10,39,1,9,28,29,Ring finger,September,Summer,No,No,Soft drink (caffeinated),Science,6,8,5,Text messaging,15,15,5,0,1,2,10,1,2,2,4,6,0,0,A lot,Rap/Hip hop,Invisibility,Happy
IN,Male,Right-Handed,183,190,Car,15,49,900,31,80,80,Same length,July,Summer,Yes,No,Water,Mathematics and statistics,7,7,6,Text messaging,15,15,5,1,5,5,15,0,3,3,8,10,10,8,Very little,Country,Invisibility,Rich
WA,Male,Ambidextrous,166,170,Car,9,34,615,24,70,67,Index finger,November,Winter,No,No,Milk,Mathematics and statistics,7,7,4,"Myspace, Facebook, other social networking sites, or blog",20,15,10,2,5,2,2,1,10,10,5,15,20,0,Some,Rap/Hip hop,Freeze time,Rich
WA,Male,Right-Handed,184.2,193,Car,10,56,800,27.5,9.2,9.6,Index finger,September,Fall,Yes,No,Milk,Science,6.5,8,3,Cell phone,25,25,7,0,10,1,13,2,2,1,3,2,0,1,A lot,Rock and roll,Super strength,Happy
IN,Male,Left-Handed,183,192,Car,20,39,800,28,9.9,10.5,Ring finger,August,Summer,No,No,Soft drink (caffeinated),Mathematics and statistics,8,10,5,In person,5,7,6,0,6,5,6,4,4,2,2,2,0,4,Some,Classical,Invisibility,Happy
IN,Male,Right-Handed,162,160,Car,15,44,800,26,100,70,Ring finger,August,Summer,No,No,Water,Science,6,8,5,In person,50,60,20,3,2,3,5,2,10,10,25,30,0,5,Some,Rap/Hip hop,Freeze time,Happy
IN,Female,Right-Handed,170,170,Car,18,46,500,21.5,8.5,7.5,Index finger,November,Fall,No,No,Water,Science,5.5,8,4,Text messaging,70,70,7,1,5,3,10,0,10,1,2,2,2,1,A lot,Pop,Invisibility,Healthy
IN,Female,Right-Handed,152.4,166,Car,16,67,3,25,8,8.5,Ring finger,March,Fall,Yes,No,Water,History,7,10,7,In person,200,100,20,1.5,3,5,18,0,4,16,1,0,0,0,A lot,Country,Freeze time,Happy
IN,Female,Right-Handed,156,160,Bus,18,34,350,23,76,76,Same length,September,Winter,Yes,No,Water,Art,6,10,4,Internet chat or instant messaging,5,4,5,0.2,4,8,3,20,30,30,40,1,0,2,Some,Techno/Electronic,Freeze time,Happy
IN,Male,Right-Handed,183,184,Car,8,55,900,30,90.5,100,Ring finger,February,Spring,Yes,No,Water,Mathematics and statistics,6,7,4,Cell phone,0,0,6,1,6,4,10,0,4,4,6,3,0,2,Very little,Rap/Hip hop,Telepathy,Happy
IN,Female,Right-Handed,162.4,162.4,Car,15,50,500,20.32,76.2,50.8,Index finger,December,Fall,No,No,Water,Art,8,10,4,Text messaging,0,3,6,1,8,5,0,0,7,2,7,10,12,5,Some,Pop,Fly,Happy
IN,Male,Right-Handed,178,66,Car,7,46,600,28,80,90,Ring finger,October,Summer,No,No,Water,History,6,9,3,Text messaging,15,80,6,0,0,1,16,8,4,1,0,0,18,2,Very little,Rap/Hip hop,Fly,Famous
IN,Male,Right-Handed,176,173,Car,3,39,1000,27,80,80,Same length,March,Summer,Yes,No,Tea,Computers and technology,7,6,2,Cell phone,200,300,15,1,5,0,10,30,3,5,10,0,0,0,Some,Rap/Hip hop,Freeze time,Happy
WA,Female,Right-Handed,176,173,Car,10,42,800,25,80,72,Index finger,February,Fall,Yes,Yes,Tea,Art,6,9,4,"Myspace, Facebook, other social networking sites, or blog",9,15,15,2,15,2,0,0,20,40,20,6,12,2,A lot,Other,Freeze time,Happy
IN,Female,Right-Handed,173,169,Car,8,57,400,24,70,70,Same length,March,Summer,No,No,Water,Physical education,8,7,3,Cell phone,30,100,10,2,5,7,12,0,3,3,1,5,1,1,Some,Rap/Hip hop,Fly,Rich
IN,Female,Left-Handed,140,130.5,Car,15,39,600,20.1,8,7.5,Ring finger,February,Summer,No,No,Milk,English,6,12,4,In person,300,300,24,1,3,14,1,0,4,112,8,5,2,4,Some,Country,Telepathy,Healthy
IN,Male,Right-Handed,68,173,Bus,23,50,668,23,70,70,Same length,September,Winter,No,No,Milk,History,7.5,9,4,"Myspace, Facebook, other social networking sites, or blog",0,1,20,1,4,3,2,60,48,1,48,5,22,5,A lot,Rock and roll,Freeze time,Happy
IN,Female,Right-Handed,168,161,Car,9,44,800,22.5,81,72,Ring finger,April,Fall,No,No,Water,Languages,6.5,8,4,Text messaging,100,100,10,0.5,3,7,10,0,6,7,8,6,10,3,Some,Other,Telepathy,Happy
IN,Female,Right-Handed,169,163.2,Car,25,41,900,24,800,850,Ring finger,September,Spring,No,No,Water,English,8,6,5,Text messaging,30,40,3,0,5,10,8,0,5,10,5,3,2,3,Some,Rap/Hip hop,Invisibility,Happy
IN,Male,Right-Handed,178,168,Car,14,45,121,28,60,70,Ring finger,June,Summer,Yes,No,Milk,Physical education,7,10,4,Text messaging,100,100,10,1,1,8,4,5,3,10,3,5,15,2,Some,Rap/Hip hop,Telepathy,Happy
IN,Female,Left-Handed,165,174,Car,30,38,700,24,93,95,Ring finger,April,Spring,Yes,No,Water,Science,8,10,7,Text messaging,75,62,20,0,30,25,30,0,10,10,45,20,0,10,Some,Pop,Freeze time,Happy
IN,Female,Right-Handed,164,152,Car,10,42,600,22,75,73,Index finger,December,Fall,No,No,Water,Music,6,12,5,"Myspace, Facebook, other social networking sites, or blog",16,22,7,0,5,2,0,0,12,3,0,1,28.5,1,A lot,Punk rock,Invisibility,Happy
IN,Female,Right-Handed,163,160,Car,5,56,500,24,76,76,Ring finger,November,Fall,Yes,No,Tea,Mathematics and statistics,7,8,4,Text messaging,40,40,84,1,5,3,15,0,21,14,35,0,0,1,Some,Rap/Hip hop,Fly,Happy
IN,Female,Right-Handed,158,170,Car,5,62,642,22,90,92,Ring finger,March,Fall,Yes,No,Tea,English,5,5,5,Text messaging,15,14,40,2,14,21,10,2,12,21,21,2,0,7,Some,Pop,Fly,Happy
IN,Female,Right-Handed,160,160,Car,5,32,100,22,90,90,Same length,February,Summer,No,No,Water,Art,9,12,4,Text messaging,50,50,7,1,10,7,10,1,2,5,6,6,0,4,A lot,Rap/Hip hop,Telepathy,Happy
IN,Female,Right-Handed,169,174,Car,5,43,1000,23,73,84,Ring finger,April,Fall,No,No,Water,Science,6.5,6.5,5,Text messaging,200,200,4,4,15,4,10,2,4,3,4,5,20,2,A lot,Rock and roll,Invisibility,Happy
IN,Female,Left-Handed,169,163,Bus,15,35,1000,27,100,85,Index finger,April,Fall,Yes,No,Water,Music,6,9,5,Text messaging,30,30,3,1,5,10,9,1,20,5,20,2,0,5,A lot,Other,Fly,Happy
IN,Female,Right-Handed,171,190,Car,25,44,300,25,81,78,Ring finger,July,Summer,Yes,No,Energy drink,Other,5,5,7,"Myspace, Facebook, other social networking sites, or blog",4,6,100,7,16,14,5,5,98,87,126,2,2,14,A lot,Pop,Telepathy,Happy
IN,Female,Right-Handed,168,173,Car,5,38,200,26,95,100,Ring finger,May,Spring,No,No,Tea,Physical education,7,10,4,Text messaging,25,25,9,2,18,10,4,0,4,4,18,8,10,1,A lot,Country,Telepathy,Happy
IN,Female,Right-Handed,162,152.4,Car,10,43,5,25.4,63.5,76.2,Ring finger,July,Fall,No,No,Soft drink (caffeinated),English,5,5,6,Text messaging,100,100,8,3,2,3,3,1,5,8,8,8,0,1,A lot,Other,Telepathy,Rich
IN,Male,Right-Handed,170,165,Car,12,49,660,24,80,75,Ring finger,August,Fall,Yes,No,Water,Mathematics and statistics,8,8,6,Text messaging,50,50,10,1,0,2,1,1,1,2,1,5,35,1,Some,Rap/Hip hop,Freeze time,Rich
IN,Female,Right-Handed,160,155,Bus,15,44,720,17.5,74,69,Index finger,June,Fall,Yes,Yes,Water,English,7,9,3,"Myspace, Facebook, other social networking sites, or blog",15,10,11,1,10,20,5,3,13,12,30,2,35,20,A lot,Rock and roll,Telepathy,Happy
IN,Female,Right-Handed,68,68,Car,9,50,1000,38,70,80,Ring finger,December,Summer,Yes,No,Water,Science,9,10,4,Text messaging,190,130,22,3,8,2,27,0,10,11,11,2,0,0,Some,Pop,Fly,Rich
IN,Male,Right-Handed,189,201,Car,13,37,600,28,95,84,Index finger,July,Winter,No,No,Water,English,6,12,3,Text messaging,3,3,4,1,12,2,0,6,4,1,12,5,25,10,A lot,Rap/Hip hop,Freeze time,Famous
IN,Male,Right-Handed,128.5,169.7,Car,10,35,600,29.2,3,3.5,Ring finger,February,Spring,Yes,No,Soft drink (caffeinated),Music,6,3,3,"Myspace, Facebook, other social networking sites, or blog",300,200,20,5,30,40,5,200,250,300,500,30,10,50,Some,Techno/Electronic,Freeze time,Rich
IN,Male,Right-Handed,175,69,Car,5,79,400,25,83,87,Ring finger,October,Summer,Yes,No,Water,Mathematics and statistics,8,9,6,Text messaging,17,11,4,0,12,5,0,9,21,1,21,4,3,0,Some,Rap/Hip hop,Invisibility,Happy
IN,Female,Ambidextrous,155,144,Bus,10,56,600,18,76,77,Ring finger,September,Winter,Yes,No,Water,Mathematics and statistics,6,7,2,Text messaging,10,4,4,6,14,10,30,7,7,12,7,3,0,15,Some,Other,Telepathy,Famous
IN,Female,Left-Handed,5,10,Car,30,45,1000,6,11,9,Index finger,April,Summer,No,No,Water,Mathematics and statistics,8,10,5,Text messaging,100,150,6,1,6,3,2,0,168,168,168,15,20,5,Some,Country,Telepathy,Happy
IN,Male,Ambidextrous,181,178,Car,16,55,645,28,85,90,Ring finger,March,Summer,Yes,No,Energy drink,Mathematics and statistics,4,10,5,In person,72,158,56,2,5,2,1,0,0.5,3,0,0,45,5,A lot,Heavy metal,Telepathy,Happy
WA,Male,Left-Handed,165,168,Car,20,53,898,27,70,73,Ring finger,May,Winter,No,No,Water,Other,8,8,3,Cell phone,12,20,24,2,6,8,15,5,20,10,15,4,6,2,Some,Rap/Hip hop,Telepathy,Rich
IN,Male,Right-Handed,179,180,Car,10,36,658,27,83,76,Index finger,April,Winter,No,No,Water,Music,8,7,5,Cell phone,300,321,15,12,15,20,10,5,8,4,4,15,10,2,A lot,Pop,Fly,Healthy
IN,Male,Right-Handed,180,182,Car,6,39,1000,26,75,82,Ring finger,November,Fall,No,No,Water,Other,5,10,4,Other,0,1,0,0,1,1,0,18,0,0,8,0,9,2,A lot,Heavy metal,Freeze time,Healthy
IN,Female,Right-Handed,117,100,Car,6,47,800,23,79,83,Ring finger,August,Fall,Yes,No,Water,Music,7,10,6,Text messaging,20,20,5,1,3,2,10,1,15,10,10,0,25,5,Some,Pop,Telepathy,Healthy
IN,Female,Ambidextrous,166,66,Car,13,29,900,26,93,92,Index finger,November,Spring,Yes,No,Water,Mathematics and statistics,5.5,8.5,7,Text messaging,150,160,5,0,30,5,10,1,12,40,40,5,0,5,A lot,Pop,Super strength,Happy
IN,Female,Right-Handed,163,159,Bus,15,39,701,22,80,70,Index finger,August,Fall,Yes,No,Water,Art,5,7,5,Text messaging,20,15,0,0,8,5,0,3,7,2,20,3,25,7,Some,Punk rock,Telepathy,Happy
IN,Female,Right-Handed,163,156,Car,15,31,1000,23,70,75,Ring finger,July,Fall,Yes,No,Sports drink,Social studies,8,11,3,Text messaging,50,50,20,6,20,20,30,0,15,10,40,3,8,0,Some,Rap/Hip hop,Telepathy,Happy
IN,Female,Right-Handed,167.6,15.7,Car,10,78,500,25.9,93,95,Ring finger,January,Spring,Yes,No,Soft drink (non-caffeinated),Mathematics and statistics,6,11,5,In person,11,18,8,0,1,8,2,0,5,8,5,7,25,2,Some,Other,Invisibility,Healthy
IN,Male,Right-Handed,175,171,Car,8,57,877,24,80,75,Index finger,November,Fall,No,No,Soft drink (caffeinated),Science,8,11,4,Text messaging,10,35,6,0,5,3,10,10,0,1,2,0,5,1,Some,Other,Invisibility,Happy
